C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2/25/2022,-27.25210571,-11.49145508,-19.59311446,3.212134557,2120,0,-19.98298645,-23.81826782,-14.47610474,100
2/26/2022,-10.77450562,-5.030487061,-7.189889469,1.061002129,2120,0,-7.022125244,-8.502868652,-6.088623047,100
3/5/2022,-12.16247559,-10.27047729,-11.2439235,0.345694705,2120,0,-11.2300415,-11.80206299,-10.80526733,99.95283019
3/6/2022,-19.7192688,-2.916625977,-16.76910645,3.969362453,2120,0,-18.70718384,-19.36524963,-9.863983154,71.22641509
3/14/2022,-3.915252686,12.09152222,5.193112024,2.989921492,2120,0,5.887939453,0.024597168,8.445007324,0
3/21/2022,0.326629639,29.78100586,12.30425189,4.257202486,2120,0,13.4352417,4.667877197,15.96435547,0
